,Episode,Mean,Stddev
640, 640.00000,   0.70570,   0.66814
641, 641.00000,   0.09960,   0.01880
642, 642.00000,  -0.28977,   1.48275
643, 643.00000,  -0.00587,   1.22771
644, 644.00000,   0.53256,   0.70884
645, 645.00000,  -0.78018,   0.70069
646, 646.00000,   0.25580,   1.22861
647, 647.00000,   0.03543,   0.04136
648, 648.00000,   0.97671,   1.54154
649, 649.00000,  -0.36261,   0.73379
650, 650.00000,  -0.44480,   0.74417
651, 651.00000,   0.29119,   1.12638
652, 652.00000,  -0.23629,   0.60370
653, 653.00000,   1.30368,   0.75074
654, 654.00000,   0.49119,   0.64472
655, 655.00000,   0.94945,   1.41754
656, 656.00000,   1.49675,   0.03547
657, 657.00000,   0.08512,   2.01957
658, 658.00000,   0.23725,   1.11455
659, 659.00000,   0.79876,   0.74368
660, 660.00000,  -0.27997,   0.63852
661, 661.00000,   0.13289,   0.03165
662, 662.00000,  -0.69538,   0.76775
663, 663.00000,  -2.13118,   0.69420
664, 664.00000,  -0.00554,   1.19106
665, 665.00000,   1.25658,   0.70265
666, 666.00000,   0.61974,   0.70753
667, 667.00000,  -0.03544,   2.35348
668, 668.00000,   0.64266,   1.41174
669, 669.00000,  -1.21688,   0.07993
670, 670.00000,  -1.47901,   0.04488
671, 671.00000,   0.96497,   1.40810
672, 672.00000,  -0.96023,   0.67927
673, 673.00000,   0.24228,   2.40216
674, 674.00000,  -0.26578,   0.73323
675, 675.00000,  -0.34107,   0.61273
676, 676.00000,   0.25948,   1.20803
677, 677.00000,   0.42821,   1.11548
678, 678.00000,   1.02899,   1.89731
679, 679.00000,   0.56351,   1.79810
680, 680.00000,   0.20817,   1.22358
681, 681.00000,  -0.37518,   0.64627
