,Episode,Mean,Stddev
353, 353.00000,   0.25309,   1.25964
354, 354.00000,   0.84345,   1.02317
355, 355.00000,  -0.38614,   0.98385
356, 356.00000,  -0.31280,   1.65835
357, 357.00000,   0.67696,   1.27887
358, 358.00000,  -0.20113,   1.28329
359, 359.00000,   1.20485,   1.13703
360, 360.00000,  -0.36381,   0.94473
361, 361.00000,  -0.17219,   0.66535
362, 362.00000,  -0.16204,   0.78399
363, 363.00000,   0.59351,   1.27076
364, 364.00000,   0.64946,   1.16267
365, 365.00000,  -0.70959,   1.19721
366, 366.00000,   0.10107,   0.63516
367, 367.00000,   0.80118,   1.36173
368, 368.00000,   0.95411,   1.54622
369, 369.00000,   0.13259,   1.49313
370, 370.00000,  -0.01916,   1.25581
371, 371.00000,   0.65584,   1.81417
372, 372.00000,  -0.14538,   1.11999
373, 373.00000,   0.23144,   1.18982
374, 374.00000,  -0.25128,   1.45219
375, 375.00000,  -0.07434,   1.20322
376, 376.00000,   0.27099,   1.64861
377, 377.00000,   0.20537,   0.60057
378, 378.00000,  -0.80566,   1.33448
379, 379.00000,   0.05278,   1.62623
380, 380.00000,   1.13356,   1.61775
381, 381.00000,   0.64565,   0.89553
382, 382.00000,   0.19164,   1.39801
383, 383.00000,  -0.53129,   1.37268
384, 384.00000,   0.42497,   1.86253
385, 385.00000,   1.15044,   0.99910
386, 386.00000,  -0.09680,   1.39844
387, 387.00000,   0.83267,   1.33042
388, 388.00000,   1.30194,   1.55559
389, 389.00000,   0.82845,   1.36485
390, 390.00000,   0.09163,   1.88789
391, 391.00000,  -0.91694,   1.59744
392, 392.00000,   0.09353,   1.46921
393, 393.00000,  -0.41663,   1.16265
394, 394.00000,  -0.58189,   1.63648
395, 395.00000,  -0.12718,   1.78770
396, 396.00000,   0.93055,   1.52734
397, 397.00000,  -1.43994,   1.02174
398, 398.00000,  -0.36350,   1.34549
399, 399.00000,   0.44375,   1.58239
400, 400.00000,  -0.11838,   1.81215
401, 401.00000,   0.91465,   1.47471
402, 402.00000,   0.14859,   1.50063
403, 403.00000,   0.12538,   1.10990
404, 404.00000,   1.31924,   1.29222
405, 405.00000,   0.55205,   1.35337
406, 406.00000,   0.52675,   1.12102
407, 407.00000,   0.73790,   0.99047
408, 408.00000,  -0.09678,   1.42939
409, 409.00000,  -0.23461,   1.10225
410, 410.00000,  -0.07964,   1.10283
411, 411.00000,  -0.47784,   1.62994
412, 412.00000,   1.27720,   1.75471
413, 413.00000,   0.19518,   1.00718
414, 414.00000,  -0.77403,   1.53401
415, 415.00000,   0.00112,   1.31820
416, 416.00000,   0.67125,   1.81559
417, 417.00000,   0.70111,   1.64985
418, 418.00000,   0.18689,   1.46195
419, 419.00000,   0.26537,   1.13953
420, 420.00000,  -0.60681,   1.29432
421, 421.00000,   0.99412,   1.67256
422, 422.00000,   0.26410,   1.74827
423, 423.00000,  -0.25689,   1.06403
424, 424.00000,  -0.01476,   1.08741
425, 425.00000,  -0.14235,   1.92381
426, 426.00000,   0.29867,   1.60021
427, 427.00000,   0.25899,   1.04333
428, 428.00000,   0.41756,   1.74453
429, 429.00000,   0.09352,   1.50122
430, 430.00000,   0.15231,   1.39932
431, 431.00000,   0.31325,   1.25700
432, 432.00000,   0.12235,   0.95771
433, 433.00000,   0.38846,   1.28163
434, 434.00000,   0.48762,   1.45254
435, 435.00000,   0.80491,   1.36790
436, 436.00000,  -0.18936,   2.04435
437, 437.00000,   0.22479,   1.05298
438, 438.00000,   0.48896,   1.64969
439, 439.00000,  -0.73753,   1.20356
